Name,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control
Bruno Miguel Borges Fernandes,396,87,77,58,88,86,433,85,86,87,87,88
Fábio Henrique Tavares,345,75,63,75,85,47,365,76,71,53,83,82
Heung Min Son,399,81,86,68,83,81,400,88,85,70,70,87
Roberto Firmino Barbosa de Oliveira,400,73,80,75,87,85,403,90,81,65,76,91
Keylor Navas,78,11,15,11,30,11,98,16,11,15,37,19
Giorgio Chiellini,280,54,33,83,65,45,276,59,60,31,65,61
Sergio Busquets Burgos,330,62,67,68,89,44,386,81,66,68,83,88
Pierre-Emerick Aubameyang,403,76,91,75,77,84,383,80,81,76,64,82
Wojciech Szczęsny,86,12,12,16,32,14,99,11,16,14,36,22
Ángel Di María,379,88,79,51,83,78,432,88,89,88,80,87
Luka Modrić,380,86,72,55,91,76,427,85,85,78,89,90
Luis Suárez,429,80,92,84,83,90,413,84,86,82,77,84
Hugo Lloris,94,13,10,10,50,11,115,10,11,10,50,34
Ciro Immobile,394,55,93,81,80,85,341,83,70,51,53,84
Thomas Müller,419,85,85,81,84,84,375,75,81,59,78,82
David De Gea Quintana,114,17,13,21,50,13,143,18,21,19,47,38
Daniel Carvajal Ramos,339,84,51,72,83,49,359,78,76,47,74,84
Raphaël Varane,293,42,46,85,78,42,309,55,46,52,77,79
Marco Verratti,344,75,60,55,90,64,411,90,78,64,89,90
Paul Pogba,400,80,75,75,86,84,435,87,85,82,91,90
Jamie Vardy,390,68,92,79,69,82,330,77,67,57,48,81
Gerard Piqué Bernabeu,344,57,65,84,81,57,325,63,58,43,81,80
Mats Hummels,349,65,55,87,82,60,355,69,66,53,86,81
Yann Sommer,84,13,13,10,40,8,96,15,12,13,31,25
David Josué Jiménez Silva,383,84,72,53,92,82,420,86,82,77,84,91
Alejandro Gómez,359,83,80,38,86,72,411,87,82,79,77,86
Jordi Alba Ramos,372,85,73,70,84,60,387,81,80,63,79,84
Jordan Henderson,377,82,73,65,86,71,403,78,80,74,87,84
Rodrigo Hernández Cascante,346,63,64,75,85,59,359,76,65,54,82,82
Sergej Milinković-Savić,389,64,80,86,85,74,412,86,78,75,85,88
Memphis Depay,386,83,83,65,81,74,414,85,85,86,74,84
Kai Havertz,400,73,85,78,84,80,388,86,84,53,78,87
Matthijs de Ligt,308,52,50,86,75,45,319,66,48,55,74,76
Milan Škriniar,277,40,42,82,73,40,269,67,34,30,69,69
Marcus Rashford,382,77,83,68,81,73,399,87,82,76,69,85
Gianluigi Donnarumma,78,12,12,12,34,8,106,28,12,14,24,28
Serge Gnabry,368,79,85,42,79,83,380,87,74,62,74,83
Leroy Sané,402,83,81,72,81,85,402,88,83,82,64,85
Hakim Ziyech,374,88,73,53,86,74,425,83,90,78,89,85
Clément Lenglet,292,55,39,83,78,37,297,57,59,31,74,76
Marcos Aoás Corrêa,298,68,33,84,82,31,312,64,55,32,82,79
Riyad Mahrez,366,83,79,48,80,76,418,90,84,78,75,91
Ricardo Barbosa Pereira,352,82,63,65,83,59,372,82,78,52,78,82
Timo Werner,399,69,88,78,78,86,352,84,70,58,55,85
Daniel Parejo Muñoz,394,86,83,61,92,72,439,82,88,93,90,86
Mauro Icardi,386,47,90,88,76,85,336,76,76,48,54,82
Frenkie de Jong,363,75,63,66,90,69,409,87,84,64,86,88
Lorenzo Insigne,374,83,75,59,83,74,425,90,87,77,78,93
Toby Alderweireld,308,64,45,82,79,38,351,62,63,69,82,75
Thiago Emiliano da Silva,322,60,40,81,80,61,349,67,62,61,80,79
Jorge Resurrección,361,85,72,61,87,56,409,80,85,76,84,84
Bernd Leno,91,9,9,13,50,10,116,16,9,8,48,35
Romelu Lukaku,400,73,86,85,79,77,371,78,78,66,71,78
Alex Sandro Lobo Silva,364,84,55,76,81,68,369,80,78,59,71,81
Thiago Alcântara,373,78,68,54,89,84,432,90,85,77,89,91
Kyle Walker,341,81,51,74,78,57,381,79,76,71,76,79
Christian Eriksen,385,86,77,52,90,80,428,77,89,85,87,90
Péter Gulácsi,94,16,10,23,35,10,104,19,18,11,31,25
Leonardo Bonucci,311,44,48,84,77,58,345,69,56,61,84,75
Dries Mertens,355,79,84,40,82,70,412,88,82,79,74,89
Luis Alberto Romero Alconchel,368,76,77,49,90,76,430,86,86,81,89,88
Diego Godín,305,52,42,85,79,47,295,53,49,49,70,74
Georginio Wijnaldum,386,72,75,78,88,73,405,85,78,73,81,88
Miralem Pjanić,359,81,56,60,90,72,440,86,86,92,87,89
Marco Reus,389,85,86,44,85,89,422,85,88,86,76,87
Wilfred Ndidi,321,50,50,76,79,66,341,72,58,58,75,78
José María Giménez,262,47,37,78,70,30,252,50,36,44,62,60
André Onana,93,15,12,20,33,13,143,26,30,17,32,38
Julian Brandt,375,81,77,54,84,79,401,88,77,65,85,86
Mikel Oyarzabal Ugarte,380,82,84,60,81,73,387,85,74,71,73,84
Lautaro Martínez,387,56,86,84,78,83,365,87,78,43,73,84
Erling Haaland,356,46,87,67,74,82,341,75,77,62,49,78
Alex Nicolao Telles,371,89,65,67,83,67,417,82,87,79,87,82
Kingsley Coman,360,77,76,52,78,77,399,88,81,70,73,87
Alejandro Grimaldo García,344,84,52,66,81,61,412,84,85,81,79,83
Arthur Henrique Ramos Oliveira Melo,352,73,70,58,88,63,396,87,76,60,84,89
Niklas Süle,253,34,22,86,78,33,233,43,28,30,69,63
Raphaël Guerreiro,365,82,80,37,87,79,420,87,85,82,78,88
Anthony Martial,383,72,85,71,80,75,377,89,84,54,63,87
Felipe Augusto de Almeida Monteiro,285,45,39,84,73,44,251,57,32,30,69,63
Leon Goretzka,389,75,79,82,84,69,397,82,76,75,79,85
Saúl Ñíguez Esclápez,391,69,78,83,85,76,382,81,73,60,83,85
Thomas Partey,353,74,68,68,87,56,391,84,69,70,85,83
Wissam Ben Yedder,402,74,88,74,82,84,396,87,80,76,66,87
Nicolás Tagliafico,345,82,57,84,78,44,325,73,68,40,67,77
Raúl Jiménez,405,73,84,85,81,82,368,84,75,51,75,83
Marcelo Brozović,359,72,69,70,83,65,403,81,79,74,84,85
Lucas Digne,367,87,60,71,81,68,400,78,83,83,73,83
Roman Bürki,90,15,8,17,37,13,84,12,13,12,24,23
Josip Iličić,394,82,85,58,86,83,420,88,85,85,74,88
José María Callejón Bueno,389,82,78,65,80,84,356,82,73,65,51,85
Luis Miguel Afonso Fernandes,366,80,78,45,85,78,411,83,83,77,83,85
Francisco Román Alarcón Suárez,360,78,76,55,84,67,428,92,88,76,81,91
David Alaba,368,80,60,76,85,67,401,77,77,85,79,83
Idrissa Gueye,295,60,53,69,81,32,342,76,49,61,77,79
Jesús Corona,378,84,69,71,79,75,395,89,85,67,68,86
Iago Aspas Juncal,408,80,89,77,79,83,403,87,79,83,68,86
Douglas Costa de Souza,355,82,64,50,83,76,410,92,84,78,65,91
Stefan de Vrij,256,49,25,82,73,27,271,66,45,16,71,73
Fernando Luiz Rosa,364,68,66,71,86,73,381,76,70,72,81,82
Lucas Pezzini Leiva,338,63,62,72,82,59,358,77,74,47,81,79
César Azpilicueta Tanco,331,81,46,75,78,51,350,67,68,58,80,77
Salvatore Sirigu,69,13,10,11,23,12,83,15,11,11,28,18
Kasper Schmeichel,105,18,12,16,44,15,126,12,13,15,46,40
Axel Witsel,391,69,71,84,90,77,386,79,71,68,85,83
Rui Pedro dos Santos Patrício,85,12,12,11,34,16,103,20,10,16,32,25
Edinson Cavani,400,68,87,84,75,86,356,75,75,75,52,79
Jesús Navas González,380,83,66,75,81,75,370,84,82,46,75,83
Achraf Hakimi,358,81,73,63,81,60,362,84,68,55,72,83
Ferland Mendy,343,78,63,72,80,50,343,80,72,35,78,78
Ousmane Dembélé,353,81,75,43,78,76,395,89,82,64,76,84
Thorgan Hazard,358,81,76,39,82,80,407,86,83,81,73,84
Ronaldo Jailson Cabrais Petri,380,83,74,64,83,76,414,85,86,78,82,83
Aaron Wan-Bissaka,293,74,44,58,74,43,328,82,68,45,56,77
Denis Zakaria,319,68,66,67,83,35,344,78,64,46,76,80
Nabil Fekir,371,79,82,49,84,77,414,88,83,79,77,87
Marcos Acuña,359,87,66,57,81,68,415,87,88,75,78,87
Steven Bergwijn,374,78,77,60,84,75,378,87,78,66,62,85
Joe Gomez,271,69,26,74,78,24,275,67,41,29,65,73
Martin Ødegaard,366,84,74,52,83,73,416,86,81,83,81,85
Donny van de Beek,377,67,79,69,82,80,383,76,78,65,79,85
Pau López Sabata,113,24,19,15,38,17,119,18,23,21,41,16
Martin Dúbravka,93,12,10,12,48,11,127,19,15,13,45,35
Diego Carlos Santos Silva,256,35,32,79,76,34,328,65,47,71,74,71
Federico Valverde,350,66,70,59,85,70,381,79,70,66,84,82
Gerard Moreno Balagueró,406,78,88,81,79,80,373,81,75,62,73,82
Gabriel Fernando de Jesus,382,66,85,77,77,77,368,86,76,54,66,86
Rafael A. Ferreira Silva,343,78,74,46,77,68,369,88,78,56,62,85
Lucas Rodrigues M. Silva,360,73,79,62,74,72,384,88,71,70,70,85
Thomas Strakosha,84,18,18,11,26,11,77,14,14,12,22,15
Filip Kostić,367,89,74,59,75,70,400,85,79,80,73,83
José Luís Gayà Peña,340,81,61,58,82,58,365,79,80,49,75,82
Dele Alli,393,68,82,81,83,79,393,84,75,68,81,85
João Pedro Cavaco Cancelo,352,83,58,68,81,62,395,85,82,69,75,84
Alessio Romagnoli,247,36,30,78,75,28,275,68,36,24,71,76
Juan Bernat Velasco,350,85,65,57,82,61,368,83,78,51,73,83
Edin Višća,360,82,76,45,83,74,377,79,76,68,71,83
Samuel Umtiti,334,61,51,79,78,65,348,64,72,62,73,77
Luiz Frello Filho Jorge,351,75,60,56,89,71,403,79,75,76,88,85
Cristian Portugues Manzanera,394,80,82,77,83,72,388,84,80,64,79,81
Marcel Sabitzer,380,74,81,60,83,82,393,79,75,78,79,82
Duván Zapata,367,44,88,83,75,77,317,79,48,62,47,81
Mateo Kovačić,342,73,61,42,90,76,408,88,79,70,82,89
Nélson Cabral Semedo,302,76,50,58,76,42,319,82,61,30,65,81
Fernando Reges,329,62,54,74,83,56,345,71,65,53,78,78
Dušan Tadić,397,84,83,66,85,79,412,84,85,76,80,87
Blaise Matuidi,354,74,60,68,80,72,342,76,60,52,77,77
Kieran Trippier,346,86,48,74,80,58,404,74,86,82,79,83
Sergio Roberto Carnicer,352,83,63,72,84,50,376,78,78,60,78,82
Anthony Lopes,98,19,18,16,32,13,96,15,15,14,31,21
Charles Aránguiz,350,78,66,53,85,68,397,79,75,76,84,83
Joel Matip,301,54,36,84,77,50,300,69,63,22,74,72
Aitor Fernández,115,30,12,20,38,15,119,22,34,14,35,14
Alexandre Lacazette,384,68,83,75,79,79,387,84,74,74,70,85
Wilfried Zaha,339,76,77,47,75,64,355,90,63,51,65,86
Kostas Manolas,208,27,25,80,60,16,220,54,30,10,61,65
Lukáš Hrádecký,72,11,11,11,30,9,89,10,11,15,33,20
Iker Muniain Goñi,353,79,79,43,84,68,394,87,82,69,70,86
Philippe Coutinho Correia,363,79,76,48,82,78,432,89,90,86,78,89
Oscar dos Santos Emboaba,376,81,78,59,86,72,404,81,77,78,85,83
Koen Casteels,92,15,15,14,35,13,107,14,20,13,37,23
Francesco Acerbi,258,25,37,82,75,39,334,65,62,56,79,72
İlkay Gündoğan,362,78,71,50,88,75,416,84,85,74,85,88
Kevin Trapp,74,13,13,11,25,12,72,10,14,12,12,24
José Paulo Bezerra M. Júnior,393,67,84,85,82,75,382,82,66,75,76,83
Yuri Berchiche Izeta,359,82,61,75,82,59,359,72,80,55,72,80
Allan Marques Loureiro,343,70,74,59,84,56,358,82,65,49,79,83
Arturo Vidal,391,76,75,81,81,78,382,76,76,68,80,82
Edin Džeko,388,63,88,83,77,77,352,76,65,54,72,85
Radja Nainggolan,367,73,75,59,85,75,390,83,73,68,82,84
Marcelo Vieira da Silva,374,84,73,73,81,63,408,89,84,67,77,91
Gareth Bale,417,87,81,84,80,85,419,80,90,87,79,83
Éver Banega,356,80,71,55,85,65,415,83,83,81,84,84
Jan Vertonghen,331,70,54,78,77,52,356,70,66,70,73,77
Steve Mandanda,99,14,13,13,46,13,107,19,13,12,36,27
Zlatan Ibrahimović,400,68,86,80,78,88,397,80,80,78,73,86
Carlos Vela,393,78,85,67,81,82,390,84,84,71,66,85
João Filipe Moutinho,391,85,73,70,87,76,419,82,84,81,86,86
Gonzalo Higuaín,392,68,87,77,75,85,359,80,74,62,60,83
Renato Augusto,380,75,78,65,85,77,409,82,80,83,83,81
Lucas Hernández,338,78,53,82,79,46,305,65,59,39,63,79
Dakonam Djené,263,60,29,77,75,22,289,50,51,48,69,71
Florian Thauvin,391,82,79,72,83,75,398,82,84,72,76,84
Jiří Pavlenka,88,11,16,14,28,19,72,12,10,14,17,19
Josué Durval Chiamulera Vaz,279,40,38,83,74,44,281,56,45,49,61,70
Giovani Lo Celso,363,78,76,57,83,69,413,85,82,77,83,86
Marcos Llorente Moreno,360,73,74,67,84,62,378,82,73,58,82,83
Nicolas Pépé,356,78,77,57,74,70,391,85,79,79,67,81
Konrad Laimer,360,78,69,69,84,60,354,79,70,47,79,79
Rúben Diogo da Silva Neves,365,78,66,53,86,82,414,76,85,84,87,82
David Soria Solís,101,15,19,24,24,19,102,16,23,11,33,19
Robin Gosens,388,82,77,78,80,71,362,78,70,58,77,79
Marco Asensio Willemsen,375,81,77,57,81,79,409,84,83,76,80,86
Yannick Carrasco,354,76,81,53,76,68,401,86,81,79,73,82
Sergio Reguilón Rodríguez,334,79,52,75,79,49,339,78,70,43,67,81
Andrej Kramarić,395,76,86,69,79,85,377,86,79,74,53,85
Quincy Promes,376,81,81,66,79,69,388,83,75,76,73,81
Mike Maignan,100,18,13,17,36,16,103,22,14,16,27,24
Lucas Ocampos,402,79,85,77,80,81,385,84,80,65,72,84
Kepa Arrizabalaga,123,25,11,18,51,18,139,10,25,19,52,33
Emre Can,383,71,76,81,84,71,385,82,77,64,83,79
Matthias Ginter,338,68,55,84,78,53,292,61,44,42,71,74
Fernando Pacheco Flores,81,14,16,10,28,13,97,13,20,20,29,15
Marcel Halstenberg,359,82,59,81,77,60,362,71,77,75,64,75
Anderson Souza Conceição,392,75,80,77,84,76,421,82,86,87,82,84
Ángel Correa,379,74,82,67,77,79,386,87,82,65,65,87
Gerónimo Rulli,87,12,15,12,32,16,91,14,19,20,23,15
Fabián Ruiz Peña,366,72,79,67,81,67,385,85,75,59,81,85
Tomáš Vaclík,78,15,14,19,17,13,105,14,17,16,38,20
Raphael William Anjos Rochedo,55,10,8,11,18,8,73,9,9,18,16,21
Harry Maguire,310,51,48,86,78,47,319,71,44,46,82,76
Daley Blind,368,80,62,76,84,66,388,75,84,62,83,84
Nick Pope,82,11,14,11,32,14,99,15,13,12,35,24
Rodrigo Moreno Machado,395,77,80,80,81,77,371,81,83,67,58,82
Alphonse Areola,117,20,19,14,48,16,103,12,16,16,37,22
Mário Figueira Fernandes,344,76,56,72,82,58,335,80,66,39,71,79
Norberto Murara Neto,88,11,15,14,36,12,109,19,12,13,41,24
Mattia Perin,86,11,11,12,33,19,101,19,15,13,31,23
Agustín Marchesín,95,18,14,11,37,15,109,24,16,15,34,20
James Rodríguez,409,90,84,62,83,90,432,86,89,86,81,90
Danilo Luís Hélio Pereira,329,58,57,76,83,55,340,75,54,53,80,78
Álvaro Borja Morata Martín,400,73,83,86,78,80,337,83,76,44,51,83
Gabriel Armando de Abreu,318,67,42,81,80,48,306,60,57,46,74,69
Sergio Canales Madrazo,353,79,82,46,83,63,412,83,82,81,82,84
Karim Bellarabi,351,78,74,48,78,73,358,86,71,58,59,84
Oliver Baumann,82,14,11,16,30,11,84,19,12,11,25,17
Sergio Asenjo Andrés,105,24,14,13,39,15,113,15,23,22,39,14
Lars Bender,343,72,58,78,78,57,317,71,49,47,74,76
Gianluigi Buffon,95,13,15,13,37,17,122,26,20,13,35,28
Aaron Ramsey,371,75,75,58,84,79,380,81,70,66,80,83
Raúl Albiol Tortajada,247,38,27,77,74,31,300,59,53,45,72,71
Mesut Özil,366,81,68,51,88,78,411,82,84,75,82,88
Dimitri Payet,383,85,78,59,84,77,419,86,85,82,81,85
Ivan Rakitić,386,84,77,59,85,81,416,78,88,82,86,82
Willian Borges da Silva,323,76,77,31,80,59,414,88,83,84,77,82
Marko Arnautović,399,78,81,79,82,79,386,78,79,72,74,83
Fernando Muslera,91,15,10,12,44,10,123,25,14,10,47,27
Aleksandar Kolarov,372,90,60,80,78,64,407,80,85,88,77,77
Jérôme Boateng,316,69,34,84,77,52,302,64,53,31,84,70
Ivan Perišić,403,83,80,80,79,81,380,79,73,75,74,79
Houssem Aouar,356,68,76,59,85,68,400,85,80,70,80,85
Manuel Lazzari,330,83,67,44,77,59,364,82,68,58,75,81
Marc Cucurella Saseta,340,80,67,57,81,55,364,79,78,48,79,80
Rúben Santos Gato Alves Dias,248,34,29,82,73,30,250,57,33,26,72,62
Moussa Diaby,315,74,71,28,79,63,347,87,66,41,73,80
Ferran Torres García,376,77,77,70,80,72,358,82,71,48,78,79
João Félix Sequeira,381,73,82,69,77,80,378,83,81,64,67,83
Renan Augusto Lodi dos Santos,348,81,64,68,76,59,375,81,81,57,75,81
Raphael Dias Belloli,339,76,72,45,74,72,383,84,81,72,66,80
Josef Martínez,359,53,85,77,69,75,335,76,68,57,55,79
Alphonso Davies,340,73,67,64,77,59,333,85,67,44,58,79
Rosberto J. Dourado Santos,323,61,53,70,82,57,342,77,54,57,78,76
Richarlison de Andrade,387,73,82,81,77,74,364,84,74,65,61,80
Marvin Oswaldo Rangel Azevedo,378,68,85,82,71,72,323,78,59,49,60,77
Nuno Ailton Padrenda Mendes,351,67,72,64,85,63,389,84,70,67,83,85
Welington Kauê Dano Nascimento,327,82,51,69,78,47,361,77,83,52,71,78
Lourival Adnan Beretta Barbosa,379,56,85,83,73,82,322,75,59,67,47,74
Adryan Juliano Zonta Torres,351,81,59,66,81,64,356,77,70,66,71,72
Juan Everton Mestres de Mesquita,309,40,56,83,67,63,312,60,72,58,58,64
Ben Chilwell,311,78,47,68,76,42,363,78,67,67,70,81
Christian Pulisic,341,72,72,50,77,70,355,86,69,58,59,83
Tomáš Souček,355,69,68,79,80,59,342,74,63,53,76,76
Marko Dmitrović,130,30,20,20,40,20,86,8,20,9,40,9
Wout Weghorst,372,42,86,88,76,80,269,65,40,37,48,79
Presnel Kimpembe,283,62,31,78,79,33,295,60,50,32,75,78
Ander Capa Rodríguez,331,81,56,60,80,54,361,78,80,58,67,78
Luke Shaw,329,75,44,78,78,54,356,78,76,54,69,79
Youri Tielemans,378,79,73,64,84,78,402,78,81,78,82,83
Matteo Politano,350,80,76,40,79,75,399,83,79,77,76,84
James Maddison,342,81,72,35,84,70,416,81,85,84,82,84
Naby Keïta,334,62,74,42,85,71,385,87,64,70,76,88
Everton Sousa Soares,341,74,76,45,75,71,367,87,76,56,67,81
Lucas Torreira,336,71,61,59,80,65,373,77,70,72,75,79
Iñaki Williams Arthuer,376,76,79,73,74,74,352,81,76,53,66,76
Davinson Sánchez,258,36,40,80,74,28,258,63,30,27,67,71
Jonathan Castro Otto,316,78,49,69,76,44,337,76,66,54,64,77
Ignacio Fernández,375,77,78,65,82,73,402,83,83,78,77,81
Joaquín Correa,375,74,77,68,81,75,392,88,81,63,74,86
Walter Benítez,78,12,14,13,26,13,92,15,19,17,27,14
Thomas Lemar,369,83,75,54,81,76,410,84,85,81,75,85
Odisseas Vlachodimos,81,15,12,13,27,14,90,13,17,13,24,23
Moussa Dembélé,360,50,85,81,72,72,310,75,69,41,48,77
Adrien Rabiot,372,70,69,77,84,72,373,78,73,59,79,84
Frederico de Paula Santos,346,74,69,53,80,70,395,82,75,74,81,83
Gonçalo Manuel Ganchinho Guedes,362,78,76,60,77,71,378,83,76,70,69,80
Marten de Roon,345,68,60,75,78,64,331,71,61,48,75,76
Benjamin Pavard,350,77,43,82,78,70,338,68,63,51,79,77
Thomas Delaney,364,67,72,83,76,66,367,74,71,68,79,75
Jordi Masip López,106,20,12,13,42,19,121,17,21,20,38,25
Xherdan Shaqiri,350,79,70,45,80,76,417,84,88,84,79,82
Sebastián Coates,252,17,42,82,72,39,260,64,39,19,70,68
Kevin Kampl,320,72,62,34,84,68,402,85,80,75,78,84
Alessio Cragno,78,15,12,12,26,13,82,13,11,12,25,21
Antonio Rüdiger,290,68,32,81,75,34,292,60,35,56,72,69
Arkadiusz Milik,370,58,88,80,66,78,377,76,74,84,62,81
Jordan Pickford,126,17,19,15,55,20,144,14,18,16,56,40
Stefan Savić,251,35,34,84,71,27,245,47,34,28,69,67
Eran Zahavi,379,69,86,69,78,77,386,82,74,78,69,83
Santiago Arias,315,77,51,69,75,43,324,74,47,54,72,77
Alessandro Florenzi,381,76,70,72,76,87,381,77,73,78,75,78
Jesús Joaquín Fernández Sáez,361,84,71,50,84,72,418,87,87,81,75,88
Benjamin Mendy,309,87,39,65,80,38,350,79,80,44,69,78
Felipe Anderson Pereira Gomes,345,79,70,44,79,73,393,87,77,69,76,84
Matt Doherty,340,80,62,74,78,46,330,74,63,45,69,79
Kevin Volland,397,78,84,71,81,83,389,79,79,80,72,79
Francisco Alcácer García,379,53,85,78,78,85,381,78,85,85,51,82
Steven Berghuis,366,83,78,48,82,75,410,81,86,76,82,85
Jasper Cillessen,108,17,10,12,50,19,99,12,10,10,35,32
Pablo Sarabia García,368,83,77,61,83,64,404,84,84,74,78,84
Thomas Meunier,383,81,70,75,80,77,358,75,74,56,74,79
Sébastien Haller,369,42,84,86,74,83,305,74,57,46,48,80
Simon Mignolet,91,11,11,16,37,16,102,14,16,12,34,26
Ismaily Gonçalves dos S.,335,80,60,59,81,55,346,83,65,50,67,81
Jonathan Viera Ramos,363,73,76,65,84,65,401,85,77,79,82,78
Sven Bender,297,43,39,78,78,59,251,58,33,30,70,60
Juan Cuadrado,365,83,64,67,81,70,391,90,78,69,69,85
Andrés Iniesta Luján,367,75,69,54,90,79,408,85,80,70,83,90
Marcos Alonso Mendoza,396,83,71,83,83,76,403,78,85,86,71,83
Mario Götze,375,82,76,47,85,85,405,84,81,72,81,87
Eduardo Salvio,370,74,75,73,76,72,379,86,79,64,66,84
Marlos Romero Bonfim,355,75,79,53,80,68,402,87,82,72,73,88
Max Kruse,385,79,80,63,83,80,397,82,82,69,80,84
Sami Khedira,377,72,68,76,83,78,367,80,64,60,81,82
Javier Martínez Aginaga,321,58,43,85,77,58,299,61,46,45,75,72
Taison Barcellos Freda,362,73,74,56,77,82,379,87,58,74,75,85
Iván Marcano Sierra,284,49,43,83,75,34,262,54,39,37,68,64
Marek Hamšík,387,78,74,74,84,77,398,81,80,70,82,85
Stéphane Ruffier,80,11,11,12,33,13,90,12,17,12,34,15
Łukasz Fabiański,75,14,13,11,20,17,98,14,18,12,32,22
Andrea Consigli,80,10,10,10,31,19,90,10,15,15,27,23
Franck Ribéry,357,80,74,41,83,79,415,87,83,81,77,87
Héctor Herrera,338,65,72,61,81,59,361,76,67,63,77,78
Képler Laveran Lima Ferreira,270,46,46,82,73,23,284,58,44,47,73,62
Esteban Andrada,97,15,14,13,37,18,106,16,14,15,38,23
André-Pierre Gignac,390,72,85,79,75,79,369,76,77,70,70,76
Jaime Nicolás Frendado,306,40,56,80,67,63,312,60,72,58,58,64
Vinícius José de Oliveira Júnior,331,71,68,50,72,70,379,88,77,62,67,85
Maximiliano Gómez,378,59,84,87,73,75,345,72,75,57,64,77
Dominik Livaković,94,13,12,13,46,10,126,19,12,11,56,28
Viktor Tsygankov,345,77,75,45,80,68,382,80,72,76,73,81
Jorge Ezequiel Serendero,55,10,8,11,18,8,73,9,9,18,16,21
Mauro Evidio Nérez,322,77,51,69,78,47,361,77,83,52,71,78
Matías David Baldona,328,75,58,59,78,58,348,75,48,73,75,77
Saúl Marcelo Ardero,335,73,72,44,79,67,375,82,56,75,80,82
Luis Roberto Dálves,368,56,82,83,68,79,320,74,59,67,47,73
Egidio Maestre Schetino,279,40,38,83,74,44,283,56,45,49,61,72
José María Sildero,369,75,74,64,80,76,403,79,86,78,82,78
Tanguy Ndombele,327,69,59,56,84,59,394,88,74,65,81,86
Ben Davies,329,78,58,66,79,48,343,75,72,48,70,78
David Neres Campos,337,67,75,45,78,72,362,86,70,52,69,85
Christopher Nkunku,355,81,74,59,82,59,404,86,81,76,77,84
Dean Henderson,73,14,9,13,32,5,108,13,13,10,40,32
Çağlar Söyüncü,284,46,39,75,76,48,278,65,39,39,64,71
Éder Gabriel Militão,301,72,48,77,70,34,310,70,60,40,69,71
Unai Simón Mendibil,94,16,14,18,29,17,83,12,20,14,21,16
Mason Mount,356,77,78,59,81,61,396,79,79,82,74,82
Mauro Arambarri,293,59,49,62,80,43,339,69,66,46,79,79
Theo Hernández,361,80,65,72,78,66,342,79,63,64,60,76
Luka Jović,385,67,85,77,73,83,342,80,77,46,58,81
Tony Josimar Abranjes Meneses,252,39,31,82,66,34,286,47,33,72,66,68
Marcus Thuram,375,74,82,75,74,70,319,85,66,30,59,79
Oleksandr Zinchenko,355,82,59,70,83,61,393,79,80,74,78,82
Laureano Thomas Santeiro Marre,335,73,72,44,79,67,375,82,56,75,80,82
